publishedAt,authorDisplayName,textDisplay,likeCount
2020-09-21T07:34:14Z,Cipeng Yuna,"Bang minta saran dong kok ms word aku gabisa pdhl udh masukin akun tp tetep gabisa, minta saran dong apa aku yang gaptek yaa",0
2020-09-10T02:33:00Z,muhamad. azriel yusalfatih,Bang kalo template nya di ambil dari Google bisa ga,0
2020-02-05T16:36:35Z,Akbar Ramadhan,Berguna bgt buat org yg laptopnya gk support buat download Ps sama corel,1
2022-05-18T09:52:02Z,adi putra,A0,0
2020-02-05T08:45:57Z,usrah jannah,senangnya,0
2020-02-03T09:55:12Z,Inna 0306,Kak pake data gak buat searching? Karna word aku gak bisa searching,0
2019-08-08T02:38:22Z,Rianti Maulani,Gak guna,1
2020-08-16T04:48:55Z,Refa Dwi Ananta,"Kalo ngerasa nih video gak guna, trus ngapain lu tonton bambankk, hargailah karya seseorang😒",1
2019-01-22T12:44:33Z,Ahmad ridlaka,Gimana kalau gambar posternya makanan khas gimana coba contohin dong pliss👍👍👍,2
2019-01-22T12:45:11Z,Ahmad ridlaka,Bisa gk makanan khas,1
2019-01-31T04:11:20Z,MariBelajar,"bisa, nanti digambar yang udah ada di dokumen, klik kanan terus pilih change picture. masukkan gambar makanan yg diinginkan",0
2018-11-24T06:11:11Z,Saviros 23,Terus cara cetaknya di print atau apa bro?,1
2018-11-26T02:17:15Z,MariBelajar,langsung dicetak dari pdf nya,0
2018-08-27T11:04:25Z,Yahya Ar,Tutorial yg bermanfaat,1
