publishedAt,authorDisplayName,textDisplay,likeCount
2023-08-08T07:52:44Z,Ubaidillah Muhammad,"keren bpk ,,, bisa share file nya untuk praktik",0
2021-03-09T10:08:15Z,Brury Tangkere,"Pak, bisa gak buat lantihan nya, dikasih sample excel data nya dan cara membangung visualisanya.",0
2021-03-08T14:04:43Z,Vika Laeli Rismawati,kak MariBelajar ada nama instagramnya ga ya?,0
2021-02-24T07:47:39Z,Banu Rusman,"Hallo Mas, saya bingung untuk price power BI..itu per user dan per bulana kan yah<br><br>Kalo kasusnya mau dipasang di sebuah perusahaan dimana yg siapin data 2 orang atau bisa dari database sendiri lalu dashboard bisa dilihat banyak user atau public, itu belinya 1 user ajah atau masing2 user yg mau lihat dashboard beli juga?<br><br>Makasih",0
2020-12-16T14:30:02Z,Nathaniel CH Piano,"bang, kalo ada  kolom excel  , data sales vs target jadi persentase, bgmn buat grafik %  nya di power bi ?",0
2020-11-03T15:33:17Z,ida Safriani,"Terima kasih pencerahannya, sukses selalu mas.",0
2020-10-26T15:56:29Z,Harry Akbar,"simpel, jelas.. makasih",0
2020-08-20T10:29:33Z,Kartika Ayu,Mohon infonya apakah bisa blajar online via zoom atau gmeet?,0
2020-07-24T08:52:47Z,Ajeng Widyaningrum,"Ya elah udah nungguin lama, ternyata gak d ajarin cara bikin tampilan itu zzzzz",0
2020-07-07T07:51:49Z,Maulida NAM,databasenya bisa dari google spreadsheet tidak yaah?,0
2020-06-20T15:51:08Z,FERZDTH,bang apakah wilayah nya bisa per kabupaten/kota???,0
2020-06-09T06:20:12Z,Avinnaash Suresh,"Good explanation, thanks!",0
2020-05-06T03:19:48Z,Arif Rahmanto,Bang bisa minta datasetnya buat praktek? atau bisa didapat dari mana ya,0
2020-01-08T12:18:51Z,Novan Rahadi,"makasih tutorialnya gan, membantu saya saat magang, suskes buat tutorial yang bermanfaat",0
2020-10-19T09:04:17Z,Naim Mashud,cek channel saya yah bang,0
2019-12-18T05:24:41Z,chandra karian,"Matul Boss, terimakasih",0
2019-11-10T13:25:14Z,Penonton Youtube 2012,"Lanjutkan Bos totorial power BI , terimakasih 😊",0
2019-09-17T14:29:50Z,Newzo Mbies,"Mau tanya, Power BI apakah bisa running on Macbook?",0
2020-07-24T16:08:39Z,MariBelajar,"Untuk versi web bisa. Namun untuk versi desktop, harus Windows. Tapi di Macbook bisa install Windows kok 😊",0
2019-08-30T14:39:15Z,Guntur Wijakso,mas kenapa ketika mengimport file latitude longitude dari excel titiknya hilangnya di PBI?,0
2019-08-03T19:32:27Z,Joko Prasetio,mantab nih.. Terima kasih bang.. Sukses selalu...,0
2019-06-25T17:16:38Z,Melania Adelia,enak banget ngejelasinnya,0
