,Steming,Label
27,umum yad status pendaftatanku ubah masihsudah daftar,Netral
89,umum min,Netral
325,kakak umum,Netral
73,halo kakak grup,Netral
69,maaf kakak cek pesan,Negatif
400,kakak ict spesifikasi laptop kakak model,Netral
91,hi kakak laksana ajar sepenuh jalan online terima kasih,Positif
172,umum,Netral
257,wahh mantap lupa kunjung profil iya,Positif
381,halo kakak daftar tutup coba daftar barusan,Netral
125,info lanjut,Netral
59,cek pesan min,Netral
120,iya ikut data analyst syarat khusus spesifikasi laptop jurus mata kuliah ditempug,Positif
12,hi kakak latih batchnya,Netral
323,halo kakak surat rekomendasi format email minta surkom paham beda surkom daftar,Netral
416,selamat malam kakak mohon maaf ganggu buka link format surat nyata tanggung mutlak mahasiswa isi susah hapus sedia harap link tanggal terima kasih,Positif
343,amin kakak,Netral
337,ayo siniii,Netral
318,kakak terimakasih info,Positif
340,kakak daftar tanggal januari,Netral
171,moga lolos,Positif
373,izin min ikut pretest selasa sampek jumat notifikasi mohon cerah min,Positif
233,moga lolos,Positif
88,min online offline,Negatif
131,terimakasih info kakak,Positif
124,proses seleksi dimulaimenunggu batas daftar tanggal,Netral
260,hallo kakak daftar gelombang daftar cek email kala informasi bagi kelas,Netral
14,sertifikat daftar bnsp,Netral
331,kakak email umum hasil pretes,Netral
179,terimakasih infony,Positif
123,halo kakak daftar platform kampus merdeka email pretest lulus administrasi,Netral
138,hi kakak cukul posisi lamar sila sesuai jalur ajar lamar terima kasih,Positif
111,what language is it,Netral
51,terima kasih kakak ajar tumbuh,Positif
112,bahasa,Netral
9,mantaaap kakak lupa hadirr,Positif
204,tunggu email pesan dibales,Netral
16,power bi pakai teliti kualitatif wawancara susun makna dll ukur puas tamu kualitatif,Positif
333,kakak pre test tanggal kah,Netral
0,selamat,Positif
105,hi kakak tahap pretest validasi tahap konfirmasi lolos pretest email lgsng seleksi platform,Netral
208,hai dear mohon cek email kirim informasi baru,Positif
414,umum kakak,Netral
355,iya kakak,Positif
70,min mohon cek pesan terimakasih,Positif
392,office kakak,Netral
38,samaa kakak,Netral
150,hi kakak tahap seleksi liput seleksi administrasi lanjut pretest tahu dasar nyata softskill and plan for future umum jadwal kakak prinsip laksana persis kuliah uts uas program mnggantikan aktivitas kuliah semester konversi sks terima kasih,Positif
273,hai admin tolong cek pesan,Positif
163,min email mari ajar logout login ngak minmohon informasi,Netral
167,mahasiswa,Netral
180,kakak lolos rekening,Netral
214,data analyst info iya,Positif
411,min daftar giat maribelajar,Positif
145,admin tolong baca pesan,Positif
247,maribelajar buka studi independen min nunggu banget tanggal buka track harepin,Netral
42,lolos msib ambil tawar mari ajar microsoft,Positif
160,min baik web lowong kmren tercantoll tambah ijazah,Positif
412,siaap kakak,Positif
229,kakak pasti info terima pretest,Positif
364,selamat malam kakak mohon maaf ganggu buka link format surat nyata tanggung mutlak mahasiswa isi susah hapus sedia harap link tanggal terima kasih,Positif
332,jugaa,Netral
409,minimal semester program studi independen kakak,Netral
326,oh okeokeee terimakasih kakak,Positif
345,ambil tawar gadisuruh unggah surat rekomendasi belah unggah surat daftar,Netral
298,hi kakak kirim progress ajar mhasiswa shg termonitoring kampus terimakasih,Positif
236,daftar email test kakak,Netral
147,keren banget daftar deh,Positif
339,iya kakak kemarin email umum jadwal pretes tanggal tanggal kirim pretes kakak umum hasil pretes lolos,Positif
100,kakak email pre test nyata lolos,Netral
34,ambil kakak,Netral
188,mohon lolos tibatiba lolos,Positif
110,terjawwb kakak,Netral
175,memang tes uman,Netral
53,mbak ningggg,Netral
135,izin admin email pretest posisi salah satu,Netral
389,hai kakak min acc information worker track mbkm apaya kakak min,Netral
154,kakak panjang daftar,Netral
19,hi kakak mohon maaf tidak nyaman masuk kotak masuk email tim kirim via whatsapp mohon periksa kakak terima kasih,Positif
142,hi dear berkas sptjmsr sesuai pretest kirim tanggal januari kemarin mohon pasti periksa folder spam promosi terima kasih,Positif
158,hi kakak kakak salah terima kasih,Negatif
286,ringan wakil dekan sj min warek susah lumayan susah temu ddline februari batas up berkas,Netral
44,lolos kakak,Netral
284,yeay,Positif
113,permisi kakak izin daftar kampus merdeka tanggal kakak,Positif
379,kakak umum kakak tes setelaj daftar,Netral
211,terima khusus program data analyst,Positif
108,terima,Positif
360,gabung kakak,Positif
169,sertifikat,Netral
79,titip kakak,Negatif
394,takut baja,Netral
292,hi kakak,Netral
84,cek pesan kakak,Netral
8,takut narsumnya,Netral
232,kakak tunggu,Netral
99,min maksud proses seleksi mahasiswa platform platform seleksi survey kebhinekaan,Netral
363,miin koo gabisa tanggal sesuai jadwal baru tanggal sesuai jadwal kontrak mohon bantu min,Positif
344,jadwal ajar diberitahukan kelas kakak,Netral
408,minimal semester brapa min,Netral
222,umum diterimatidaknya pretest diberitahukan email kakak,Positif
28,ayo bismillah maribelajar proses pendaftarankuubiar terima disiniii,Positif
31,lolos kakak,Netral
365,halo kakak gabung,Positif
55,what language is it,Netral
327,min pretes tanggal januari kemarin info lulus hasil pretes min,Netral
32,lolos kakak,Netral
287,periode giat kontrak masuk min feb juni,Positif
48,sila kakak,Positif
346,gabung,Positif
306,halo kakak surat nyata tanggung mutlak unduh website maribelajarcoid,Netral
295,min nonton ulang onboarding mana,Netral
33,lolos kakak,Netral
221,ngerjain pretest info kirakira min,Netral
304,selamat malam kakak mohon maaf ganggu buka link format surat nyata tanggung mutlak mahasiswa isi susah hapus sedia harap link tanggal terima kasih,Positif
35,microsoft platform developer,Netral
385,pathwaylearning track sertifikasi min terimakasih,Positif
63,hi dear umum terima platform kampus merdeka tanggal februari mohon cek akun kala,Positif
157,hi kakak buka kakak sila daftar taut terima kasih,Positif
128,hi kakak mohon tunggu iya,Positif
46,mantab,Positif
206,hai dear cek email kirim informasi baru,Positif
66,done kakak,Netral
268,uang saku tulis juta bulan ubah ribu bulan,Netral
351,kelompok wa unoff,Netral
256,ijazah daftar,Netral
234,halo selamat sore bapakibu kenal salsabilla putri arista member mari ajar microsoft msib angkat kampus merdeka izin kait sertifikat maribelajar angkat akses bagaiamana download sertifikat bapakibu terimakasih,Positif
397,titip,Netral
407,min batch uang saku min program studi independen terimakasih,Positif
338,daftar tanggal kakterus email pretes tanggal kakak,Netral
45,wahh keren banget kakak,Positif
177,permisi lolos kelompok cakap,Positif
219,moga lolos,Positif
386,learning track modern educator track milik laptop spesifikasi,Netral
21,bagus wa intens website webiste wa,Positif
248,banget,Netral
199,halo admin program studi idependen cloud administrator grub telewams team akun kampus merdeka giat lapor hari coba cakap wa dibales,Positif
137,email mohon cerah min,Positif
24,uang saku min,Netral
184,kakak,Netral
205,info email data analytic,Netral
134,halo kakak izin daftar posisi email pretest isi duaduanya link pretesnya apaapa kakak,Netral
116,jam ajar kakak,Netral
212,cari teman program,Positif
377,udahhh sabar,Netral
358,halo kakak maaf jbjb gabung kelompok wa kakak,Positif
277,pakai daftar isi,Netral
231,umum kah,Netral
217,kakak twibbon selebrasi mbkm cycle sib mitra,Positif
56,indonesian,Netral
330,kakak,Netral
307,oke kakak mohon maaf repot,Negatif
305,maksud,Netral
181,halo kakak kakak lolos program studi independen kakak,Netral
97,hi dear daftar buka daftar beberapa jalur ajar hasil pilih,Positif
114,hi dear tanggal januari,Positif
278,tutor suhu,Netral
118,hi kakak laksana layak kuliah senin sd jumat jam variasi pkl sd terima kasih,Positif
315,cek pesan min tolong,Positif
170,hallo kakak sertifikat serta ikut challenge,Positif
361,masuk kakak,Netral
54,min offline,Negatif
176,tes tanggal,Netral
194,tanggal juli kakak info,Netral
198,hallo min izin mahasiswa lolos gabung kelompok program jalan arah mohon balas iya,Positif
182,info lolos kakak,Netral
342,moga lolos kakak,Positif
103,khusus mahasiswa,Netral
220,pretest tes min,Netral
130,hi kakak kakak syarat dukung lancar sertifikasi internasional,Positif
303,oke kakak,Positif
60,cek pesan,Netral
94,kakak pre test daftar posisi,Netral
193,kakak tes tanggal,Netral
140,kakak,Netral
148,what language is it,Netral
202,data analist kelompok,Netral
152,hi dear matkul wajib ambil boleh catat sks konversi,Positif
341,amin rabbalalamiin,Netral
10,main menkrep,Positif
